Chapter,Notebook_URL,Notebook_Title,Is_Public,Audio_Overview,Audio_URL,Video_Overview,Video_URL,Mind_Map,Reports,Flashcards,Quiz,Infographic,Slide_Deck,Last_Checked,Notes
FullCourse,https://notebooklm.google.com/notebook/9c634a6f-fba3-4696-aca4-c99fb197187a,CBSE_Class10_English_FullCourse,yes,1,,1,,1,skip,1,1,1,1,2025-12-17 23:01,All 7 assets generated
FF01,https://notebooklm.google.com/notebook/3013a588-cde7-43ee-8a2a-2f40b1067e4c,CBSE_Class10_English_FF01_LetterToGod,yes,1,,1,,1,skip,1,1,1,1,2025-12-17 23:01,All 7 assets generated
FF02,https://notebooklm.google.com/notebook/2926e791-2901-47a0-9545-3f7294791737,CBSE_Class10_English_FF02_NelsonMandela,yes,1,,1,,1,skip,1,1,1,1,2025-12-17 23:01,All 7 assets generated
FF03,https://notebooklm.google.com/notebook/86681dac-3fd9-41cb-aede-8c90ea776a6f,CBSE_Class10_English_FF03_StoriesAboutFlying,yes,1,,1,,1,skip,1,1,1,1,2025-12-17 23:01,All 7 assets generated
FF04,https://notebooklm.google.com/notebook/0e9551f8-51bd-42f0-9b52-09dd73181f12,CBSE_Class10_English_FF04_DiaryAnneFrank,yes,1,,1,,1,skip,1,1,1,1,2025-12-17 23:01,All 7 assets generated
FF05,https://notebooklm.google.com/notebook/2d3aedfa-10f5-4242-a221-2ab779d5d2b0,CBSE_Class10_English_FF05_GlimpsesIndia,yes,1,,1,,1,skip,1,1,1,1,2025-12-17 23:01,All 7 assets generated
FF06,https://notebooklm.google.com/notebook/3bb2dc98-fadf-4540-8c5a-ee085acfec4e,CBSE_Class10_English_FF06_MijbilOtter,yes,1,,1,,1,skip,1,1,1,1,2025-12-17 23:01,All 7 assets generated
FF07,https://notebooklm.google.com/notebook/53178fd3-a620-4e02-bc75-ca7fdddffed0,CBSE_Class10_English_FF07_MadamRidesBus,yes,1,,1,,1,skip,1,1,1,1,2025-12-17 23:01,All 7 assets generated
FF08,https://notebooklm.google.com/notebook/4ebe96ea-97e6-4f14-96cc-4cab962c884b,CBSE_Class10_English_FF08_SermonBenares,yes,1,,1,,1,skip,1,1,1,1,2025-12-17 23:01,All 7 assets generated
FF09,https://notebooklm.google.com/notebook/385a6171-99de-4455-a1d4-f7740d954590,CBSE_Class10_English_FF09_TheProposal,yes,1,,1,,1,skip,1,1,1,1,2025-12-17 23:01,All 7 assets generated
FP01,https://notebooklm.google.com/notebook/a715b9fb-53c3-4900-81b9-68528ba3ddd3,CBSE_Class10_English_FP01_TriumphSurgery,yes,1,,1,,1,skip,1,1,1,1,2025-12-17 23:01,All 7 assets generated
FP02,https://notebooklm.google.com/notebook/87f53021-b194-4ea9-8d90-a5f5388c46d1,CBSE_Class10_English_FP02_ThiefsStory,yes,1,,1,,1,skip,1,1,1,1,2025-12-17 23:01,All 7 assets generated
FP03,https://notebooklm.google.com/notebook/143519e7-5aec-48f6-b33c-f2fb497ace07,CBSE_Class10_English_FP03_MidnightVisitor,yes,1,,1,,1,skip,1,1,1,1,2025-12-17 23:01,All 7 assets generated
FP04,https://notebooklm.google.com/notebook/aa435715-1640-4998-845c-5d7305232a82,CBSE_Class10_English_FP04_QuestionTrust,yes,1,,1,,1,skip,1,1,1,1,2025-12-17 23:01,All 7 assets generated
FP05,https://notebooklm.google.com/notebook/bb0a569b-f2b8-477a-b69a-20fbb84653f0,CBSE_Class10_English_FP05_FootprintsWithoutFeet,yes,1,,1,,1,skip,1,1,1,1,2025-12-17 23:01,All 7 assets generated
FP06,https://notebooklm.google.com/notebook/27b2dcf1-c609-4fcd-814b-36eea5e44d34,CBSE_Class10_English_FP06_MakingScientist,yes,1,,1,,1,skip,1,1,1,1,2025-12-17 23:01,All 7 assets generated
FP07,https://notebooklm.google.com/notebook/335e3837-b1ae-42b9-b377-49463fa7c4b1,CBSE_Class10_English_FP07_TheNecklace,yes,1,,1,,1,skip,1,1,1,1,2025-12-17 23:01,All 7 assets generated
FP08,https://notebooklm.google.com/notebook/6d953f17-738e-46e8-a5bd-ea7c871e675e,CBSE_Class10_English_FP08_Bholi,yes,1,,1,,1,skip,1,1,1,1,2025-12-17 23:01,All 7 assets generated
FP09,https://notebooklm.google.com/notebook/1b3a03e0-8740-41fa-8cd7-94178407de04,CBSE_Class10_English_FP09_BookSavedEarth,yes,1,,1,,1,skip,1,1,1,1,2025-12-17 23:01,All 7 assets generated
