Chapter,Notebook_URL,Notebook_Title,Is_Public,Audio_Overview,Audio_URL,Video_Overview,Video_URL,Mind_Map,Reports,Flashcards,Quiz,Infographic,Slide_Deck,Last_Checked,Notes
FullCourse,https://notebooklm.google.com/notebook/47aab58a-e8ac-464b-b40a-7e94ad916091,CBSE_Class10_Science_FullCourse,yes,1,,1,,1,skip,1,1,1,1,2025-12-17 22:03,All 7 assets generated - full course notebook with 33 sources
Ch01,https://notebooklm.google.com/notebook/9a97c826-2985-4367-8598-3a5c52ed4dd3,CBSE_Class10_Science_Ch01_ChemicalReactionsEquations,yes,1,,1,,1,skip,1,1,1,1,2025-12-17 22:03,All 7 assets generated
Ch02,https://notebooklm.google.com/notebook/fd4c03c0-2554-47f7-8925-fdf0a57b1707,CBSE_Class10_Science_Ch02_AcidsBasesSalts,yes,1,,1,,1,skip,1,1,1,1,2025-12-17 22:03,All 7 assets generated
Ch03,https://notebooklm.google.com/notebook/176a6630-33ad-4044-bfe9-e94520942c03,CBSE_Class10_Science_Ch03_MetalsNonMetals,yes,1,,1,,1,skip,1,1,1,1,2025-12-17 22:03,All 7 assets generated
Ch04,https://notebooklm.google.com/notebook/dcdd41c7-b1a5-436d-afde-1d9d3360547a,CBSE_Class10_Science_Ch04_CarbonCompounds,yes,1,,1,,1,skip,1,1,1,1,2025-12-17 22:03,All 7 assets generated
Ch05,https://notebooklm.google.com/notebook/e99443d6-9cfa-4307-9e70-7f810267b9cb,CBSE_Class10_Science_Ch05_LifeProcesses,yes,1,,1,,1,skip,1,1,0,1,2025-12-17 22:03,Infographic generation failed - 6 of 7 assets
Ch06,https://notebooklm.google.com/notebook/383e8cda-963f-46d3-8eb8-0c881d940c43,CBSE_Class10_Science_Ch06_ControlCoordination,yes,1,,1,,1,skip,1,1,1,1,2025-12-17 22:03,All 7 assets generated
Ch07,https://notebooklm.google.com/notebook/76db04cf-20f8-4ce8-8759-4ce2732fe052,CBSE_Class10_Science_Ch07_HowOrganismsReproduce,yes,1,,1,,1,skip,1,1,1,1,2025-12-17 22:03,All 7 assets generated
Ch08,https://notebooklm.google.com/notebook/0937e984-d5c5-4577-aee0-934a111d9df6,CBSE_Class10_Science_Ch08_Heredity,yes,1,,1,,1,skip,1,1,1,1,2025-12-17 22:03,All 7 assets generated
Ch09,https://notebooklm.google.com/notebook/b6dd6c33-df8b-4990-8d91-3cd7bb89fd7e,CBSE_Class10_Science_Ch09_LightReflectionRefraction,yes,1,,1,,1,skip,1,1,1,1,2025-12-17 22:03,All 7 assets generated
Ch10,https://notebooklm.google.com/notebook/5707fe93-79bb-4757-a6ae-258dc5a9b2be,CBSE_Class10_Science_Ch10_HumanEyeColourfulWorld,yes,1,,1,,1,skip,1,1,1,1,2025-12-17 22:03,All 7 assets generated
Ch11,https://notebooklm.google.com/notebook/2dbc95d9-3376-4493-8cd7-a727f235f9d1,CBSE_Class10_Science_Ch11_Electricity,yes,1,,1,,1,skip,1,1,1,1,2025-12-17 22:03,All 7 assets generated
Ch12,https://notebooklm.google.com/notebook/7aa6c563-5936-4be8-8f3d-1ffa9d20eb18,CBSE_Class10_Science_Ch12_MagneticEffectsElectricCurrent,yes,1,,1,,1,skip,1,1,1,1,2025-12-17 22:03,All 7 assets generated
Ch13,https://notebooklm.google.com/notebook/5d96c0aa-290f-4250-a763-e9220986e1bb,CBSE_Class10_Science_Ch13_OurEnvironment,yes,1,,1,,1,skip,1,1,1,1,2025-12-17 22:03,All 7 assets generated
