Chapter,Notebook_Title,Notebook_URL,PDFs_Uploaded,Public,Date_Created,Status,Notes
Ch01,CBSE_Class10_Science_Ch01_ChemicalReactionsEquations,https://notebooklm.google.com/notebook/9a97c826-2985-4367-8598-3a5c52ed4dd3,2,Yes,2025-12-08,Completed,Textbook + Exemplar
Ch02,CBSE_Class10_Science_Ch02_AcidsBasesSalts,https://notebooklm.google.com/notebook/fd4c03c0-2554-47f7-8925-fdf0a57b1707,2,Yes,2025-12-08,Completed,Textbook + Exemplar
Ch03,CBSE_Class10_Science_Ch03_MetalsNonMetals,https://notebooklm.google.com/notebook/176a6630-33ad-4044-bfe9-e94520942c03,2,Yes,2025-12-08,Completed,Textbook + Exemplar
Ch04,CBSE_Class10_Science_Ch04_CarbonCompounds,https://notebooklm.google.com/notebook/dcdd41c7-b1a5-436d-afde-1d9d3360547a,2,Yes,2025-12-08,Completed,Textbook + Exemplar
Ch05,CBSE_Class10_Science_Ch05_LifeProcesses,https://notebooklm.google.com/notebook/e99443d6-9cfa-4307-9e70-7f810267b9cb,2,Yes,2025-12-17,Completed,Textbook + Exemplar
Ch06,CBSE_Class10_Science_Ch06_ControlCoordination,https://notebooklm.google.com/notebook/383e8cda-963f-46d3-8eb8-0c881d940c43,2,Yes,2025-12-17,Completed,Textbook + Exemplar
Ch07,CBSE_Class10_Science_Ch07_HowOrganismsReproduce,https://notebooklm.google.com/notebook/76db04cf-20f8-4ce8-8759-4ce2732fe052,2,Yes,2025-12-17,Completed,Textbook + Exemplar
Ch08,CBSE_Class10_Science_Ch08_Heredity,https://notebooklm.google.com/notebook/0937e984-d5c5-4577-aee0-934a111d9df6,2,Yes,2025-12-17,Completed,Textbook + Exemplar
Ch09,CBSE_Class10_Science_Ch09_LightReflectionRefraction,https://notebooklm.google.com/notebook/b6dd6c33-df8b-4990-8d91-3cd7bb89fd7e,2,Yes,2025-12-17,Completed,Textbook + Exemplar
Ch10,CBSE_Class10_Science_Ch10_HumanEyeColourfulWorld,https://notebooklm.google.com/notebook/5707fe93-79bb-4757-a6ae-258dc5a9b2be,2,Yes,2025-12-17,Completed,Textbook + Exemplar
Ch11,CBSE_Class10_Science_Ch11_Electricity,https://notebooklm.google.com/notebook/2dbc95d9-3376-4493-8cd7-a727f235f9d1,2,Yes,2025-12-17,Completed,Textbook + Exemplar
Ch12,CBSE_Class10_Science_Ch12_MagneticEffectsElectricCurrent,https://notebooklm.google.com/notebook/7aa6c563-5936-4be8-8f3d-1ffa9d20eb18,2,Yes,2025-12-17,Completed,Textbook + Exemplar
Ch13,CBSE_Class10_Science_Ch13_OurEnvironment,https://notebooklm.google.com/notebook/5d96c0aa-290f-4250-a763-e9220986e1bb,2,Yes,2025-12-17,Completed,Textbook + Exemplar
FullCourse,CBSE_Class10_Science_FullCourse,https://notebooklm.google.com/notebook/47aab58a-e8ac-464b-b40a-7e94ad916091,33,Yes,2025-12-17,Completed,Complete course with all materials
