Chapter,Notebook_URL,Notebook_Title,Is_Public,Audio_Overview,Audio_URL,Video_Overview,Video_URL,Mind_Map,Reports,Flashcards,Quiz,Infographic,Slide_Deck,Last_Checked,Notes
FullCourse,https://notebooklm.google.com/notebook/5c38a8ca-7546-4f5a-b10e-ba778f694f6f,CBSE_Class10_SocialScience_FullCourse,yes,0,,0,,1,skip,1,1,0,0,2025-12-17 22:59,3 of 7 assets - 26 sources - missing Audio Video Infographic Slide
H01,https://notebooklm.google.com/notebook/f11149db-1cad-4711-ab53-d91c8727cf90,CBSE_Class10_SocialScience_H01_RiseNationalismEurope,yes,1,,1,,1,skip,1,1,1,1,2025-12-17 22:59,All 7 assets generated
H02,https://notebooklm.google.com/notebook/e6ab0cc6-7fde-4895-9d9a-4ddc976eeb3e,CBSE_Class10_SocialScience_H02_NationalismIndia,yes,1,,1,,1,skip,1,1,1,1,2025-12-17 22:59,All 7 assets generated
H03,https://notebooklm.google.com/notebook/525afa2d-089c-41b6-8a46-34659adcab38,CBSE_Class10_SocialScience_H03_MakingGlobalWorld,yes,1,,1,,1,skip,1,1,1,1,2025-12-17 22:59,All 7 assets generated
H04,https://notebooklm.google.com/notebook/df79bdf8-d92c-46cb-98c6-4b53accdcc31,CBSE_Class10_SocialScience_H04_AgeIndustrialisation,yes,1,,1,,1,skip,1,1,1,1,2025-12-17 22:59,All 7 assets generated
H05,https://notebooklm.google.com/notebook/41db85c6-9d71-49b7-b743-7b3e20295b6a,CBSE_Class10_SocialScience_H05_PrintCultureModernWorld,yes,1,,1,,1,skip,1,1,1,1,2025-12-17 22:59,All 7 assets generated
G01,https://notebooklm.google.com/notebook/458fc074-eba4-4fc6-966a-93c388333068,CBSE_Class10_SocialScience_G01_ResourcesDevelopment,yes,1,,1,,1,skip,1,1,1,1,2025-12-17 22:59,All 7 assets generated
G02,https://notebooklm.google.com/notebook/21d9f1e8-961d-4416-9a50-fbf71ee145a0,CBSE_Class10_SocialScience_G02_ForestWildlifeResources,yes,1,,1,,1,skip,1,1,1,1,2025-12-17 22:59,All 7 assets generated
G03,https://notebooklm.google.com/notebook/87f6c16b-457b-41b9-bdd2-23fc078a388f,CBSE_Class10_SocialScience_G03_WaterResources,yes,1,,1,,1,skip,1,1,1,1,2025-12-17 22:59,All 7 assets generated
G04,https://notebooklm.google.com/notebook/9b6ab1f6-d56d-449f-adf0-9482b9175316,CBSE_Class10_SocialScience_G04_Agriculture,yes,1,,1,,1,skip,1,1,1,1,2025-12-17 22:59,All 7 assets generated
G05,https://notebooklm.google.com/notebook/aa712746-b965-49b0-81bf-a90d68f010fe,CBSE_Class10_SocialScience_G05_MineralsEnergyResources,yes,1,,1,,1,skip,1,1,1,1,2025-12-17 22:59,All 7 assets generated
G06,https://notebooklm.google.com/notebook/68d2a15e-dc79-4911-a5a8-500fe9b02103,CBSE_Class10_SocialScience_G06_ManufacturingIndustries,yes,1,,1,,1,skip,1,1,1,1,2025-12-17 22:59,All 7 assets generated
G07,https://notebooklm.google.com/notebook/c162f88f-620b-41fd-89fe-cc86f80c914c,CBSE_Class10_SocialScience_G07_LifelinesNationalEconomy,yes,1,,1,,1,skip,1,1,1,1,2025-12-17 22:59,All 7 assets generated
P01,https://notebooklm.google.com/notebook/1060bc32-9696-474e-ba2b-0e27f90ffd1a,CBSE_Class10_SocialScience_P01_PowerSharing,yes,1,,1,,1,skip,1,1,1,1,2025-12-17 22:59,All 7 assets generated
P02,https://notebooklm.google.com/notebook/79cc623e-4fd6-4307-8e59-c18f5f2fc918,CBSE_Class10_SocialScience_P02_Federalism,yes,1,,1,,1,skip,1,1,1,1,2025-12-17 22:59,All 7 assets generated
P03,https://notebooklm.google.com/notebook/38b8d0b1-1876-4296-b007-94be36e4f2df,CBSE_Class10_SocialScience_P03_GenderReligionCaste,yes,1,,1,,1,skip,1,1,1,1,2025-12-17 22:59,All 7 assets generated
P04,https://notebooklm.google.com/notebook/7d54dfce-af6a-48fa-be8e-b18a44490e10,CBSE_Class10_SocialScience_P04_PoliticalParties,yes,1,,1,,1,skip,1,1,1,1,2025-12-17 22:59,All 7 assets generated
P05,https://notebooklm.google.com/notebook/8bdc5d5c-1773-4731-b9d4-77c6097459e2,CBSE_Class10_SocialScience_P05_OutcomesDemocracy,yes,1,,1,,1,skip,1,1,1,1,2025-12-17 22:59,All 7 assets generated
E01,https://notebooklm.google.com/notebook/e81d5cbc-2dc2-44b2-9bcf-66736645fff0,CBSE_Class10_SocialScience_E01_Development,yes,1,,1,,1,skip,1,1,1,1,2025-12-17 22:59,All 7 assets generated
E02,https://notebooklm.google.com/notebook/e69b8795-39d9-418e-8efc-514a4bdf6de1,CBSE_Class10_SocialScience_E02_SectorsIndianEconomy,yes,1,,1,,1,skip,1,1,1,1,2025-12-17 22:59,All 7 assets generated
E03,https://notebooklm.google.com/notebook/5c78f36e-be24-4c84-9587-53354155419f,CBSE_Class10_SocialScience_E03_MoneyCredit,yes,1,,1,,1,skip,1,1,1,1,2025-12-17 22:59,All 7 assets generated
E04,https://notebooklm.google.com/notebook/734183cb-c49d-47bb-bfec-e535f98f69f6,CBSE_Class10_SocialScience_E04_GlobalisationIndianEconomy,yes,1,,1,,1,skip,1,1,1,1,2025-12-17 22:59,All 7 assets generated
E05,https://notebooklm.google.com/notebook/909e547a-f701-4b06-9c70-92a0efe1398f,CBSE_Class10_SocialScience_E05_ConsumerRights,yes,1,,1,,1,skip,1,1,1,1,2025-12-17 22:59,All 7 assets generated
