Chapter,Notebook_Title,Notebook_URL,PDFs_Uploaded,Public,Date_Created,Status,Notes
Ch01,CBSE_Class11_Biology_Ch01_LivingWorld,https://notebooklm.google.com/notebook/63c9a0bd-3a21-4e35-be71-489e17920da5,1,Yes,2025-12-15,Complete,
Ch02,CBSE_Class11_Biology_Ch02_BiologicalClassification,https://notebooklm.google.com/notebook/d746b1a5-3ac3-4d57-90d0-f2c7e144265a,1,Yes,2025-12-15,Complete,
Ch03,CBSE_Class11_Biology_Ch03_PlantKingdom,https://notebooklm.google.com/notebook/fe547ff8-d26e-4f12-8493-d667040f7a3f,1,Yes,2025-12-15,Complete,
Ch04,CBSE_Class11_Biology_Ch04_AnimalKingdom,https://notebooklm.google.com/notebook/6c85c70d-1be6-43cd-8e30-16a3d66accea,1,Yes,2025-12-15,Complete,
Ch05,CBSE_Class11_Biology_Ch05_MorphologyFloweringPlants,https://notebooklm.google.com/notebook/bbf972ee-69b6-4ce8-a536-253804ca95fc,1,Yes,2025-12-16,Complete,
Ch06,CBSE_Class11_Biology_Ch06_AnatomyFloweringPlants,https://notebooklm.google.com/notebook/7e3dd156-97f6-4b57-a793-cb72056b9edf,1,Yes,2025-12-16,Complete,
Ch07,CBSE_Class11_Biology_Ch07_StructuralOrganisationAnimals,https://notebooklm.google.com/notebook/438264bd-3c54-465d-a1f8-6d2b8c184b45,1,Yes,2025-12-16,Complete,
Ch08,CBSE_Class11_Biology_Ch08_CellUnitLife,https://notebooklm.google.com/notebook/61155412-2ce9-4720-98a4-5efdf74942db,1,Yes,2025-12-16,Complete,
Ch09,CBSE_Class11_Biology_Ch09_Biomolecules,https://notebooklm.google.com/notebook/216128a0-7e29-46b9-8c76-521d9ceae4c9,1,Yes,2025-12-16,Complete,
Ch10,CBSE_Class11_Biology_Ch10_CellCycleCellDivision,https://notebooklm.google.com/notebook/dd26c23a-e87c-4811-8752-50deacee6ea6,1,Yes,2025-12-16,Complete,
Ch11,CBSE_Class11_Biology_Ch11_PhotosynthesisHigherPlants,https://notebooklm.google.com/notebook/592da714-bece-4d18-9117-e76e603fbd5d,1,Yes,2025-12-16,Complete,
Ch12,CBSE_Class11_Biology_Ch12_RespirationPlants,https://notebooklm.google.com/notebook/934d717f-f153-4952-ac8f-c035e50f3513,1,Yes,2025-12-16,Complete,
Ch13,CBSE_Class11_Biology_Ch13_PlantGrowthDevelopment,https://notebooklm.google.com/notebook/cdc79d6c-2089-41d5-96c8-211115a3712f,1,Yes,2025-12-16,Complete,
Ch14,CBSE_Class11_Biology_Ch14_BreathingExchangeGases,https://notebooklm.google.com/notebook/4bf7f262-78fe-48f4-ab45-14213bdcb01a,1,Yes,2025-12-16,Complete,
Ch15,CBSE_Class11_Biology_Ch15_BodyFluidsCirculation,https://notebooklm.google.com/notebook/4d070d7a-4c95-455c-a5f1-73b9fe740f78,1,Yes,2025-12-16,Complete,
Ch16,CBSE_Class11_Biology_Ch16_ExcretoryProductsElimination,https://notebooklm.google.com/notebook/2e85a966-e8db-46cc-bec1-d3bf874ec15a,1,Yes,2025-12-16,Complete,
Ch17,CBSE_Class11_Biology_Ch17_LocomotionMovement,https://notebooklm.google.com/notebook/3464e3a9-6170-4aa4-a79a-692515173437,1,Yes,2025-12-16,Complete,
Ch18,CBSE_Class11_Biology_Ch18_NeuralControlCoordination,https://notebooklm.google.com/notebook/dc8febba-e670-4407-b5c0-f69707383cc5,1,Yes,2025-12-16,Complete,
Ch19,CBSE_Class11_Biology_Ch19_ChemicalCoordinationIntegration,https://notebooklm.google.com/notebook/641812a2-ff65-4e73-b5c1-5798c2ebecc2,1,Yes,2025-12-16,Complete,
FullCourse,CBSE_Class11_Biology_FullCourse,https://notebooklm.google.com/notebook/7926b4b0-0ea2-44f7-81e9-a5c2f48e8777,21,Yes,2025-12-16,Complete,
