Chapter,Notebook_URL,Audio_Overview,Audio_URL,Video_Overview,Video_URL,Mind_Map,Reports,Flashcards,Quiz,Infographic,Slide_Deck,Last_Checked,Notes
Ch01,https://notebooklm.google.com/notebook/f1707c97-415c-49f3-9903-85416e9624db,0,,0,,0,skip,0,0,0,0,2025-12-16 22:28,
Ch02,https://notebooklm.google.com/notebook/42245be0-0aa9-46ce-8422-333ca8179b98,0,,0,,0,skip,0,0,0,0,2025-12-16 22:28,
Ch03,https://notebooklm.google.com/notebook/d4600b25-6b5d-4382-93be-5bde7d70897e,0,,0,,0,skip,0,0,0,0,2025-12-16 22:28,
Ch04,https://notebooklm.google.com/notebook/4ee135a2-7c6e-47ca-8114-fdfa4ee62259,0,,0,,0,skip,0,0,0,0,2025-12-16 22:28,
Ch05,https://notebooklm.google.com/notebook/c22ab203-5d5a-43cf-a10d-2d057fbc7256,0,,0,,0,skip,0,0,0,0,2025-12-16 22:28,
Ch06,https://notebooklm.google.com/notebook/61d5496a-bfa8-4651-8819-05850dd1119a,0,,0,,0,skip,0,0,0,0,2025-12-16 22:28,
Ch07,https://notebooklm.google.com/notebook/c91970cf-a189-46db-aaff-1dc6edbc6f8f,0,,0,,0,skip,0,0,0,0,2025-12-16 22:28,
Ch08,https://notebooklm.google.com/notebook/32323923-c36d-49aa-95b6-7f340fefa426,0,,0,,0,skip,0,0,0,0,2025-12-16 22:28,
Ch09,https://notebooklm.google.com/notebook/97ea8e8f-accd-4e98-a6fa-f85980feda23,0,,0,,0,skip,0,0,0,0,2025-12-16 22:28,
FullCourse,https://notebooklm.google.com/notebook/48991d4c-ae9f-47e5-b31b-98a9e77fc89e,0,,0,,0,skip,0,0,0,0,2025-12-16 22:28,
