Chapter,Notebook_Title,Notebook_URL,PDFs_Uploaded,Public,Date_Created,Status,Notes
Ch01,CBSE_Class11_Chemistry_Ch01_SomeBasicConcepts,https://notebooklm.google.com/notebook/f1707c97-415c-49f3-9903-85416e9624db,1,Yes,2025-12-15,Complete,
Ch02,CBSE_Class11_Chemistry_Ch02_StructureAtom,https://notebooklm.google.com/notebook/42245be0-0aa9-46ce-8422-333ca8179b98,1,Yes,2025-12-15,Complete,
Ch03,CBSE_Class11_Chemistry_Ch03_ClassificationElementsPeriodicity,https://notebooklm.google.com/notebook/d4600b25-6b5d-4382-93be-5bde7d70897e,1,Yes,2025-12-15,Complete,
Ch04,CBSE_Class11_Chemistry_Ch04_ChemicalBondingMolecularStructure,https://notebooklm.google.com/notebook/4ee135a2-7c6e-47ca-8114-fdfa4ee62259,1,Yes,2025-12-15,Complete,
Ch05,CBSE_Class11_Chemistry_Ch05_ChemicalThermodynamics,https://notebooklm.google.com/notebook/c22ab203-5d5a-43cf-a10d-2d057fbc7256,1,Yes,2025-12-15,Complete,
Ch06,CBSE_Class11_Chemistry_Ch06_Equilibrium,https://notebooklm.google.com/notebook/61d5496a-bfa8-4651-8819-05850dd1119a,1,Yes,2025-12-15,Complete,
Ch07,CBSE_Class11_Chemistry_Ch07_RedoxReactions,https://notebooklm.google.com/notebook/c91970cf-a189-46db-aaff-1dc6edbc6f8f,1,Yes,2025-12-15,Complete,
Ch08,CBSE_Class11_Chemistry_Ch08_OrganicChemistryPrinciplesTechniques,https://notebooklm.google.com/notebook/32323923-c36d-49aa-95b6-7f340fefa426,1,Yes,2025-12-15,Complete,
Ch09,CBSE_Class11_Chemistry_Ch09_Hydrocarbons,https://notebooklm.google.com/notebook/97ea8e8f-accd-4e98-a6fa-f85980feda23,1,Yes,2025-12-15,Complete,
FullCourse,CBSE_Class11_Chemistry_FullCourse,https://notebooklm.google.com/notebook/48991d4c-ae9f-47e5-b31b-98a9e77fc89e,14,Yes,2025-12-15,Complete,
