chapter_number,section,book,chapter_title,filename,ncert_url
01,Reading,Hornbill,The Portrait of a Lady,cbse_11_english_core_hornbill_reading_ch01_portrait_lady_photograph_textbook.pdf,https://ncert.nic.in/textbook/pdf/kehb101.pdf
02,Reading,Hornbill,We're Not Afraid to Die,cbse_11_english_core_hornbill_reading_ch02_not_afraid_to_die_textbook.pdf,https://ncert.nic.in/textbook/pdf/kehb102.pdf
03,Reading,Hornbill,Discovering Tut: the Saga Continues,cbse_11_english_core_hornbill_reading_ch03_discovering_tut_laburnum_textbook.pdf,https://ncert.nic.in/textbook/pdf/kehb103.pdf
05,Reading,Hornbill,The Adventure,cbse_11_english_core_hornbill_reading_ch05_adventure_textbook.pdf,https://ncert.nic.in/textbook/pdf/kehb105.pdf
06,Reading,Hornbill,Silk Road,cbse_11_english_core_hornbill_reading_ch06_silk_road_textbook.pdf,https://ncert.nic.in/textbook/pdf/kehb106.pdf
01,Writing,Hornbill,Note-making,cbse_11_english_core_hornbill_writing_ch01_note_making_textbook.pdf,https://ncert.nic.in/textbook/pdf/kehb111.pdf
02,Writing,Hornbill,Summarising,cbse_11_english_core_hornbill_writing_ch02_summarizing_textbook.pdf,https://ncert.nic.in/textbook/pdf/kehb112.pdf
03,Writing,Hornbill,Sub-titling,cbse_11_english_core_hornbill_writing_ch03_sub_titling_textbook.pdf,https://ncert.nic.in/textbook/pdf/kehb113.pdf
04,Writing,Hornbill,Essay-writing,cbse_11_english_core_hornbill_writing_ch04_essay_writing_textbook.pdf,https://ncert.nic.in/textbook/pdf/kehb114.pdf
05,Writing,Hornbill,Letter-writing,cbse_11_english_core_hornbill_writing_ch05_letter_writing_textbook.pdf,https://ncert.nic.in/textbook/pdf/kehb115.pdf
06,Writing,Hornbill,Creative Writing,cbse_11_english_core_hornbill_writing_ch06_creative_writing_textbook.pdf,https://ncert.nic.in/textbook/pdf/kehb116.pdf
prelims,-,Hornbill,Prelims,cbse_11_english_core_hornbill_prelims.pdf,https://ncert.nic.in/textbook/pdf/kehb1ps.pdf
01,-,Snapshots,The Summer of the Beautiful White Horse,cbse_11_english_core_snapshots_ch01_summer_beautiful_white_horse_textbook.pdf,https://ncert.nic.in/textbook/pdf/kesp101.pdf
02,-,Snapshots,The Address,cbse_11_english_core_snapshots_ch02_the_address_textbook.pdf,https://ncert.nic.in/textbook/pdf/kesp102.pdf
03,-,Snapshots,Mother's Day,cbse_11_english_core_snapshots_ch03_mothers_day_textbook.pdf,https://ncert.nic.in/textbook/pdf/kesp103.pdf
04,-,Snapshots,Birth,cbse_11_english_core_snapshots_ch04_birth_textbook.pdf,https://ncert.nic.in/textbook/pdf/kesp104.pdf
05,-,Snapshots,The Tale of Melon City,cbse_11_english_core_snapshots_ch05_tale_melon_city_textbook.pdf,https://ncert.nic.in/textbook/pdf/kesp105.pdf
prelims,-,Snapshots,Prelims,cbse_11_english_core_snapshots_prelims.pdf,https://ncert.nic.in/textbook/pdf/kesp1ps.pdf
syllabus,-,CBSE,English Core Syllabus 2025-26,cbse_11_english_core_syllabus_2025-26.pdf,https://cbseacademic.nic.in/web_material/Curriculum25/publication/secondary/Class_XI-Curriculum-2025-26/13-English%20Core.pdf
