Chapter,Notebook_URL,Notebook_Title,Is_Public,Audio_Overview,Audio_URL,Video_Overview,Video_URL,Mind_Map,Reports,Flashcards,Quiz,Infographic,Slide_Deck,Last_Checked,Notes
Hornbill_Reading_Ch01,https://notebooklm.google.com/notebook/9a200a76-fa27-4440-ab57-5aedf22f2873,CBSE_Class11_EnglishCore_Hornbill_Reading_Ch01_PortraitOfLady,yes,1,,1,,1,skip,1,2,1,1,2025-12-19 11:07,All 7 assets generated
Hornbill_Reading_Ch02,https://notebooklm.google.com/notebook/b998b806-1970-4423-937d-15e155c105f4,CBSE_Class11_EnglishCore_Hornbill_Reading_Ch02_NotAfraidToDie,yes,1,,1,,0,skip,1,2,0,0,2025-12-19 11:07,Audio/Video/Flashcards/Quiz generated; Missing Mind Map/Infographic/Slide Deck
Hornbill_Reading_Ch03,https://notebooklm.google.com/notebook/1e862e77-2061-4db0-bcaf-e04b022bf623,CBSE_Class11_EnglishCore_Hornbill_Reading_Ch03_DiscoveringTut,yes,1,,1,,1,skip,1,2,0,0,2025-12-19 11:07,Audio/Video/Mind Map/Flashcards/Quiz generated; Missing Infographic/Slide Deck
Hornbill_Reading_Ch05,https://notebooklm.google.com/notebook/ba036543-df77-4f4d-ba59-63bb6d858cd2,CBSE_Class11_EnglishCore_Hornbill_Reading_Ch05_TheAdventure,yes,1,,1,,1,skip,1,2,0,0,2025-12-19 11:07,Audio/Video/Mind Map/Flashcards/Quiz generated; Missing Infographic/Slide Deck
Hornbill_Reading_Ch06,https://notebooklm.google.com/notebook/8d65e6b8-a069-405d-8bb9-e21195e3ba81,CBSE_Class11_EnglishCore_Hornbill_Reading_Ch06_SilkRoad,yes,1,,1,,1,skip,1,2,0,0,2025-12-19 11:07,Audio/Video/Mind Map/Flashcards/Quiz generated; Missing Infographic/Slide Deck
Hornbill_Writing_Ch01,https://notebooklm.google.com/notebook/74936cf9-14b3-47d7-9597-b5772bf0ec9a,CBSE_Class11_EnglishCore_Hornbill_Writing_Ch01_NoteMaking,yes,1,,1,,0,skip,1,3,0,0,2025-12-19 11:07,Audio/Video/Flashcards/Quiz generated (3x); Missing Mind Map/Infographic/Slide Deck
Hornbill_Writing_Ch02,https://notebooklm.google.com/notebook/910c02ce-f527-4c1e-86b6-2bf92140d643,CBSE_Class11_EnglishCore_Hornbill_Writing_Ch02_Summarising,yes,1,,1,,0,skip,1,2,0,0,2025-12-19 11:07,Audio/Video/Flashcards/Quiz generated; Missing Mind Map/Infographic/Slide Deck
Hornbill_Writing_Ch03,https://notebooklm.google.com/notebook/ba773b3e-0e3d-40d3-ab3e-09af3130879d,CBSE_Class11_EnglishCore_Hornbill_Writing_Ch03_SubTitling,yes,1,,1,,1,skip,1,2,0,0,2025-12-19 11:07,Audio/Video/Mind Map/Flashcards/Quiz generated; Missing Infographic/Slide Deck
Hornbill_Writing_Ch04,https://notebooklm.google.com/notebook/70858b45-b2fe-465e-999f-b5a3786b4569,CBSE_Class11_EnglishCore_Hornbill_Writing_Ch04_EssayWriting,yes,1,,0,,0,skip,1,2,0,0,2025-12-19 11:07,Audio/Flashcards/Quiz generated; Missing Video/Mind Map/Infographic/Slide Deck
Hornbill_Writing_Ch05,https://notebooklm.google.com/notebook/24166f1a-f3df-4d94-9d6c-5149fac0460c,CBSE_Class11_EnglishCore_Hornbill_Writing_Ch05_LetterWriting,yes,1,,0,,1,skip,1,2,0,0,2025-12-19 11:07,Audio/Mind Map/Flashcards/Quiz generated; Missing Video/Infographic/Slide Deck
Hornbill_Writing_Ch06,https://notebooklm.google.com/notebook/2d453089-c84a-4027-834d-dee9e476a81b,CBSE_Class11_EnglishCore_Hornbill_Writing_Ch06_CreativeWriting,yes,1,,0,,0,skip,1,2,0,0,2025-12-19 11:07,Audio/Flashcards/Quiz generated; Missing Video/Mind Map/Infographic/Slide Deck
Snapshots_Ch01,https://notebooklm.google.com/notebook/fe429c3e-8a3f-48a2-93db-45db5c4fcf29,CBSE_Class11_EnglishCore_Snapshots_Ch01_SummerBeautifulWhiteHorse,yes,1,,0,,1,skip,1,2,0,0,2025-12-19 11:07,Audio/Mind Map/Flashcards/Quiz generated; Missing Video/Infographic/Slide Deck
