Chapter,Notebook_Title,Notebook_URL,PDFs_Uploaded,Public,Date_Created,Status,Notes
Hornbill_Reading_Ch01,CBSE_Class11_EnglishCore_Hornbill_Reading_Ch01_PortraitOfLady,https://notebooklm.google.com/notebook/9a200a76-fa27-4440-ab57-5aedf22f2873,1,Yes,2025-12-18,Complete,
Hornbill_Reading_Ch02,CBSE_Class11_EnglishCore_Hornbill_Reading_Ch02_NotAfraidToDie,https://notebooklm.google.com/notebook/b998b806-1970-4423-937d-15e155c105f4,1,Yes,2025-12-18,Complete,
Hornbill_Reading_Ch03,CBSE_Class11_EnglishCore_Hornbill_Reading_Ch03_DiscoveringTut,https://notebooklm.google.com/notebook/1e862e77-2061-4db0-bcaf-e04b022bf623,1,Yes,2025-12-18,Complete,
Hornbill_Reading_Ch05,CBSE_Class11_EnglishCore_Hornbill_Reading_Ch05_TheAdventure,https://notebooklm.google.com/notebook/ba036543-df77-4f4d-ba59-63bb6d858cd2,1,Yes,2025-12-18,Complete,
Hornbill_Reading_Ch06,CBSE_Class11_EnglishCore_Hornbill_Reading_Ch06_SilkRoad,https://notebooklm.google.com/notebook/8d65e6b8-a069-405d-8bb9-e21195e3ba81,1,Yes,2025-12-18,Complete,
Hornbill_Writing_Ch01,CBSE_Class11_EnglishCore_Hornbill_Writing_Ch01_NoteMaking,https://notebooklm.google.com/notebook/74936cf9-14b3-47d7-9597-b5772bf0ec9a,1,Yes,2025-12-18,Complete,
Hornbill_Writing_Ch02,CBSE_Class11_EnglishCore_Hornbill_Writing_Ch02_Summarising,https://notebooklm.google.com/notebook/910c02ce-f527-4c1e-86b6-2bf92140d643,1,Yes,2025-12-18,Complete,
Hornbill_Writing_Ch03,CBSE_Class11_EnglishCore_Hornbill_Writing_Ch03_SubTitling,https://notebooklm.google.com/notebook/ba773b3e-0e3d-40d3-ab3e-09af3130879d,1,Yes,2025-12-18,Complete,
Hornbill_Writing_Ch04,CBSE_Class11_EnglishCore_Hornbill_Writing_Ch04_EssayWriting,https://notebooklm.google.com/notebook/70858b45-b2fe-465e-999f-b5a3786b4569,1,Yes,2025-12-18,Complete,
Hornbill_Writing_Ch05,CBSE_Class11_EnglishCore_Hornbill_Writing_Ch05_LetterWriting,https://notebooklm.google.com/notebook/24166f1a-f3df-4d94-9d6c-5149fac0460c,1,Yes,2025-12-18,Complete,
Hornbill_Writing_Ch06,CBSE_Class11_EnglishCore_Hornbill_Writing_Ch06_CreativeWriting,https://notebooklm.google.com/notebook/2d453089-c84a-4027-834d-dee9e476a81b,1,Yes,2025-12-18,Complete,
Snapshots_Ch01,CBSE_Class11_EnglishCore_Snapshots_Ch01_SummerBeautifulWhiteHorse,https://notebooklm.google.com/notebook/fe429c3e-8a3f-48a2-93db-45db5c4fcf29,1,Yes,2025-12-18,Complete,
Snapshots_Ch02,CBSE_Class11_EnglishCore_Snapshots_Ch02_TheAddress,https://notebooklm.google.com/notebook/d1439024-e2fe-4282-b0e5-4de55436ee62,1,Yes,2025-12-18,Complete,
Snapshots_Ch03,CBSE_Class11_EnglishCore_Snapshots_Ch03_MothersDay,https://notebooklm.google.com/notebook/df044a5e-ca2a-4882-9d2f-7278482e929e,1,Yes,2025-12-18,Complete,
Snapshots_Ch04,CBSE_Class11_EnglishCore_Snapshots_Ch04_Birth,https://notebooklm.google.com/notebook/f693be45-2f74-4718-b24f-a6656ad839e9,1,Yes,2025-12-18,Complete,
Snapshots_Ch05,CBSE_Class11_EnglishCore_Snapshots_Ch05_TaleOfMelonCity,https://notebooklm.google.com/notebook/f3632c9c-67e3-485b-8d54-05f93caa61ec,1,Yes,2025-12-18,Complete,
FullCourse,CBSE_Class11_EnglishCore_FullCourse,https://notebooklm.google.com/notebook/0d4beebd-402f-4698-ab63-ef6e03682aed,19,Yes,2025-12-18,Complete,"All 19 PDFs: Hornbill (11 + prelims), Snapshots (5 + prelims), Syllabus"
