Chapter,Notebook_URL,Audio_Overview,Audio_URL,Video_Overview,Video_URL,Mind_Map,Reports,Flashcards,Quiz,Infographic,Slide_Deck,Last_Checked,Notes
Ch01,https://notebooklm.google.com/notebook/d110ef71-5140-428a-b14e-e0c37315017d,0,,0,,0,skip,0,0,0,0,2025-12-16 22:28,
Ch02,https://notebooklm.google.com/notebook/27bf8672-fb0c-44a5-afa6-032730f6286d,0,,0,,0,skip,0,0,0,0,2025-12-16 22:28,
Ch03,https://notebooklm.google.com/notebook/68000eef-e233-430e-9c13-20933c4c61cb,0,,0,,0,skip,0,0,0,0,2025-12-16 22:28,
Ch04,https://notebooklm.google.com/notebook/949ecf06-5c8f-474c-81d1-59687c898635,0,,0,,0,skip,0,0,0,0,2025-12-16 22:28,
Ch05,https://notebooklm.google.com/notebook/8be07882-51b1-49b4-ad00-8ac48e41f242,0,,0,,0,skip,0,0,0,0,2025-12-16 22:28,
Ch06,https://notebooklm.google.com/notebook/ee624288-61f5-4526-8334-e77ea77fe491,0,,0,,0,skip,0,0,0,0,2025-12-16 22:28,
Ch07,https://notebooklm.google.com/notebook/a5fcdadb-e01c-41b7-94c8-2c2e1ab9c5ae,0,,0,,0,skip,0,0,0,0,2025-12-16 22:28,
Ch08,https://notebooklm.google.com/notebook/55060ca6-87ec-4a6f-bd92-dca1500d4fcc,0,,0,,0,skip,0,0,0,0,2025-12-16 22:28,
Ch09,https://notebooklm.google.com/notebook/12ad64b4-a9dc-46ed-90f1-67b1ba908c2c,0,,0,,0,skip,0,0,0,0,2025-12-16 22:28,
Ch10,https://notebooklm.google.com/notebook/2d5f9069-08f6-4a9c-aecb-e6551c41ced5,0,,0,,0,skip,0,0,0,0,2025-12-16 22:28,
Ch11,https://notebooklm.google.com/notebook/a1d25630-2759-4c73-a981-e59a0b633405,0,,0,,0,skip,0,0,0,0,2025-12-16 22:28,
Ch12,https://notebooklm.google.com/notebook/ade996e5-8cec-4d0f-9394-85f991f17e76,0,,0,,0,skip,0,0,0,0,2025-12-16 22:28,
Ch13,https://notebooklm.google.com/notebook/0f853fe1-e7a2-49b6-93ca-94df0e48486f,0,,0,,0,skip,0,0,0,0,2025-12-16 22:28,
Ch14,https://notebooklm.google.com/notebook/855ac8f5-bd03-443e-8722-c6d9a69841c5,0,,0,,0,skip,0,0,0,0,2025-12-16 22:28,
FullCourse,https://notebooklm.google.com/notebook/7be381bc-d899-44c8-a9e7-ba57e2e6a47f,0,,0,,0,skip,0,0,0,0,2025-12-16 22:28,
