Chapter,Notebook_URL,Notebook_Title,Is_Public,Audio_Overview,Audio_URL,Video_Overview,Video_URL,Mind_Map,Reports,Flashcards,Quiz,Infographic,Slide_Deck,Last_Checked,Notes
Ch01,https://notebooklm.google.com/notebook/c08992e0-f4d2-454a-9fac-d8d30fa17d7f,CBSE_Class12_Biology_Ch01_SexualReproductionFloweringPlants,yes,1,,1,,1,skip,1,1,1,1,2025-12-16 22:28,7 assets generated (Audio/Video/Mind Map/Flashcards/Quiz/Infographic/Slide Deck)
Ch02,https://notebooklm.google.com/notebook/29653626-5396-4686-99e6-f3d60101049a,CBSE_Class12_Biology_Ch02_HumanReproduction,yes,1,,1,,1,skip,1,1,1,1,2025-12-16 22:28,7 assets generated (Audio/Video/Mind Map/Flashcards/Quiz/Infographic/Slide Deck)
Ch03,https://notebooklm.google.com/notebook/60065da2-673e-41b4-9410-0448af340898,CBSE_Class12_Biology_Ch03_ReproductiveHealth,yes,1,,1,,1,skip,1,1,1,1,2025-12-16 22:28,Infographic regenerated (prev failed); 7 assets OK
Ch04,https://notebooklm.google.com/notebook/a6ad851e-35e7-4f3a-8dd6-d2d8df715b12,CBSE_Class12_Biology_Ch04_PrinciplesInheritanceVariation,yes,1,,1,,1,skip,1,1,1,1,2025-12-16 22:28,7 assets generated (Audio/Video/Mind Map/Flashcards/Quiz/Infographic/Slide Deck)
Ch05,https://notebooklm.google.com/notebook/edd7c32f-ec3c-4eeb-a626-df05fba61167,CBSE_Class12_Biology_Ch05_MolecularBasisInheritance,yes,1,,1,,1,skip,1,1,1,1,2025-12-16 22:28,7 assets generated (Audio/Video/Mind Map/Flashcards/Quiz/Infographic/Slide Deck)
Ch06,https://notebooklm.google.com/notebook/917b9969-286b-4f3e-9d71-055ea6a76f18,CBSE_Class12_Biology_Ch06_Evolution,yes,1,,1,,1,skip,1,1,1,1,2025-12-16 22:28,7 assets generated (Audio/Video/Mind Map/Flashcards/Quiz/Infographic/Slide Deck)
Ch07,https://notebooklm.google.com/notebook/8356df06-2416-4dc3-b488-7a4ef00c7be0,CBSE_Class12_Biology_Ch07_HumanHealthDiseases,yes,1,,1,,1,skip,1,1,1,1,2025-12-16 22:28,7 assets generated (Audio/Video/Mind Map/Flashcards/Quiz/Infographic/Slide Deck)
Ch08,https://notebooklm.google.com/notebook/60182a3a-b837-49f7-82d0-4147c6699ff4,CBSE_Class12_Biology_Ch08_MicrobesHumanWelfare,yes,1,,1,,1,skip,1,1,1,1,2025-12-16 22:28,7 assets generated (Audio/Video/Mind Map/Flashcards/Quiz/Infographic/Slide Deck)
Ch09,https://notebooklm.google.com/notebook/b4299691-d3b3-4151-b6e0-7d7346cdeb5d,CBSE_Class12_Biology_Ch09_BiotechnologyPrinciplesProcesses,yes,1,,1,,1,skip,1,1,1,1,2025-12-16 22:28,7 assets generated (Audio/Video/Mind Map/Flashcards/Quiz/Infographic/Slide Deck)
Ch10,https://notebooklm.google.com/notebook/c2af5cb6-56ce-485a-8fcf-09225ab45bfd,CBSE_Class12_Biology_Ch10_BiotechnologyApplications,yes,1,,1,,1,skip,1,1,1,1,2025-12-16 22:28,7 assets generated (Audio/Video/Mind Map/Flashcards/Quiz/Infographic/Slide Deck)
Ch11,https://notebooklm.google.com/notebook/eda225eb-04d6-4111-a253-97de143de725,CBSE_Class12_Biology_Ch11_OrganismsPopulations,yes,1,,1,,1,skip,1,1,1,1,2025-12-16 22:28,Slide Deck regenerating (prev failed); 7 assets target
Ch12,https://notebooklm.google.com/notebook/a3da9269-686c-4e87-b86b-e5bc8f4d568f,CBSE_Class12_Biology_Ch12_Ecosystem,yes,1,,1,,1,skip,1,1,1,1,2025-12-16 22:28,7 assets generated (Audio/Video/Mind Map/Flashcards/Quiz/Infographic/Slide Deck)
Ch13,https://notebooklm.google.com/notebook/28c3fe82-dfd6-40d0-9459-251776681cd2,CBSE_Class12_Biology_Ch13_BiodiversityConservation,yes,1,,1,,1,skip,1,1,1,1,2025-12-16 22:28,7 assets generated (Audio/Video/Mind Map/Flashcards/Quiz/Infographic/Slide Deck)
FullCourse,https://notebooklm.google.com/notebook/a861a9c7-3070-4830-91c1-2a2f0d630146,CBSE_Class12_Biology_FullCourse_AllChapters,yes,1,,1,,1,skip,1,1,1,1,2025-12-16 22:28,7 assets generated (Audio/Video/Mind Map/Flashcards/Quiz/Infographic/Slide Deck)
