Chapter,NotebookTitle,NotebookURL,SourceCount,IsPublic,DateCreated,Status,Notes
Ch01,CBSE_Class12_Biology_Ch01_SexualReproductionFloweringPlants,https://notebooklm.google.com/notebook/c08992e0-f4d2-454a-9fac-d8d30fa17d7f,1,Yes,2025-12-15,Complete,
Ch02,CBSE_Class12_Biology_Ch02_HumanReproduction,https://notebooklm.google.com/notebook/29653626-5396-4686-99e6-f3d60101049a,1,Yes,2025-12-15,Complete,
Ch03,CBSE_Class12_Biology_Ch03_ReproductiveHealth,https://notebooklm.google.com/notebook/60065da2-673e-41b4-9410-0448af340898,1,Yes,2025-12-15,Complete,
Ch04,CBSE_Class12_Biology_Ch04_PrinciplesInheritanceVariation,https://notebooklm.google.com/notebook/a6ad851e-35e7-4f3a-8dd6-d2d8df715b12,1,Yes,2025-12-15,Complete,
Ch05,CBSE_Class12_Biology_Ch05_MolecularBasisInheritance,https://notebooklm.google.com/notebook/edd7c32f-ec3c-4eeb-a626-df05fba61167,1,Yes,2025-12-15,Complete,
Ch06,CBSE_Class12_Biology_Ch06_Evolution,https://notebooklm.google.com/notebook/917b9969-286b-4f3e-9d71-055ea6a76f18,1,Yes,2025-12-15,Complete,
Ch07,CBSE_Class12_Biology_Ch07_HumanHealthDiseases,https://notebooklm.google.com/notebook/8356df06-2416-4dc3-b488-7a4ef00c7be0,1,Yes,2025-12-15,Complete,
Ch08,CBSE_Class12_Biology_Ch08_MicrobesHumanWelfare,https://notebooklm.google.com/notebook/60182a3a-b837-49f7-82d0-4147c6699ff4,1,Yes,2025-12-15,Complete,
Ch09,CBSE_Class12_Biology_Ch09_BiotechnologyPrinciplesProcesses,https://notebooklm.google.com/notebook/b4299691-d3b3-4151-b6e0-7d7346cdeb5d,1,Yes,2025-12-15,Complete,
Ch10,CBSE_Class12_Biology_Ch10_BiotechnologyApplications,https://notebooklm.google.com/notebook/c2af5cb6-56ce-485a-8fcf-09225ab45bfd,1,Yes,2025-12-15,Complete,
Ch11,CBSE_Class12_Biology_Ch11_OrganismsPopulations,https://notebooklm.google.com/notebook/eda225eb-04d6-4111-a253-97de143de725,1,Yes,2025-12-15,Complete,
Ch12,CBSE_Class12_Biology_Ch12_Ecosystem,https://notebooklm.google.com/notebook/a3da9269-686c-4e87-b86b-e5bc8f4d568f,1,Yes,2025-12-15,Complete,
Ch13,CBSE_Class12_Biology_Ch13_BiodiversityConservation,https://notebooklm.google.com/notebook/28c3fe82-dfd6-40d0-9459-251776681cd2,1,Yes,2025-12-15,Complete,
FullCourse,CBSE_Class12_Biology_FullCourse_AllChapters,https://notebooklm.google.com/notebook/a861a9c7-3070-4830-91c1-2a2f0d630146,16,Yes,2025-12-15,Complete,
