Chapter,Notebook_URL,Notebook_Title,Is_Public,Audio_Overview,Audio_URL,Video_Overview,Video_URL,Mind_Map,Reports,Flashcards,Quiz,Infographic,Slide_Deck,Last_Checked,Notes
Ch01,https://notebooklm.google.com/notebook/f2edde6b-6924-4972-81e1-be18a467c422,CBSE_Class12_Chemistry_Ch01_Solutions,yes,1,,1,,1,skip,1,1,0,0,2025-12-16 22:28,Missing Infographic and Slide Deck
Ch02,https://notebooklm.google.com/notebook/1708d26b-fbb5-4c40-9fb3-99b4b090f5e5,CBSE_Class12_Chemistry_Ch02_Electrochemistry,yes,1,,1,,1,skip,1,1,0,0,2025-12-16 22:28,Missing Infographic and Slide Deck
Ch03,https://notebooklm.google.com/notebook/1fd96cd6-0afe-456e-acf6-1b3a75d94335,CBSE_Class12_Chemistry_Ch03_ChemicalKinetics,yes,1,,1,,1,skip,1,1,0,0,2025-12-16 22:28,Missing Infographic and Slide Deck
Ch04,https://notebooklm.google.com/notebook/b741b8a8-3828-4aef-9384-8bd4930ece69,CBSE_Class12_Chemistry_Ch04_DFBlockElements,yes,1,,1,,1,skip,1,1,0,0,2025-12-16 22:28,Missing Infographic and Slide Deck
Ch05,https://notebooklm.google.com/notebook/a140208a-5f4c-42ab-9e8f-4ab5501c4315,CBSE_Class12_Chemistry_Ch05_CoordinationCompounds,yes,1,,1,,1,skip,1,1,0,0,2025-12-16 22:28,Missing Infographic and Slide Deck
Ch06,https://notebooklm.google.com/notebook/8d221480-5910-43e2-b537-35de9cff02fa,CBSE_Class12_Chemistry_Ch06_HaloalkanesHaloarenes,yes,1,,1,,0,skip,1,1,0,0,2025-12-16 22:28,Missing Mind Map Infographic and Slide Deck; Video generation failed once
Ch07,https://notebooklm.google.com/notebook/1f28020a-b688-463c-91a8-99f9f355a383,CBSE_Class12_Chemistry_Ch07_AlcoholsPhenolsEthers,yes,1,,1,,1,skip,1,1,0,0,2025-12-16 22:28,Missing Infographic and Slide Deck
Ch08,https://notebooklm.google.com/notebook/91f22f04-2ef6-4ac5-9561-ee81279f454d,CBSE_Class12_Chemistry_Ch08_AldehydesKetonesCarboxylicAcids,yes,1,,1,,0,skip,1,1,0,0,2025-12-16 22:28,Missing Mind Map Infographic and Slide Deck
Ch09,https://notebooklm.google.com/notebook/02ce2259-3e68-469a-bdb8-c323597409f5,CBSE_Class12_Chemistry_Ch09_Amines,yes,1,,1,,1,skip,1,1,0,0,2025-12-16 22:28,Missing Infographic and Slide Deck
Ch10,https://notebooklm.google.com/notebook/58fc05e5-2ecf-46bf-b52c-cad68fccfe08,Biomolecules: Carbohydrates Proteins and Nucleic Acids,yes,1,,1,,1,skip,1,1,0,0,2025-12-16 22:28,Title non-compliant; Expected: CBSE_Class12_Chemistry_Ch10_Biomolecules; Missing Infographic and Slide Deck
FullCourse,https://notebooklm.google.com/notebook/1f2483fb-8a2c-4f49-860f-086c5bb76fb7,CBSE_Class12_Chemistry_FullCourse,yes,1,,1,,1,skip,1,1,0,1,2025-12-16 22:28,Missing Infographic
