Chapter,Notebook_Title,NotebookLM_URL,Source_Count,Is_Public,Date_Created,Status,Notes
Ch01,CBSE_Class12_Chemistry_Ch01_Solutions,https://notebooklm.google.com/notebook/f2edde6b-6924-4972-81e1-be18a467c422,1,Yes,2025-12-15,Complete,
Ch02,CBSE_Class12_Chemistry_Ch02_Electrochemistry,https://notebooklm.google.com/notebook/1708d26b-fbb5-4c40-9fb3-99b4b090f5e5,1,Yes,2025-12-15,Complete,
Ch03,CBSE_Class12_Chemistry_Ch03_ChemicalKinetics,https://notebooklm.google.com/notebook/1fd96cd6-0afe-456e-acf6-1b3a75d94335,1,Yes,2025-12-15,Complete,
Ch04,CBSE_Class12_Chemistry_Ch04_DFBlockElements,https://notebooklm.google.com/notebook/b741b8a8-3828-4aef-9384-8bd4930ece69,1,Yes,2025-12-15,Complete,
Ch05,CBSE_Class12_Chemistry_Ch05_CoordinationCompounds,https://notebooklm.google.com/notebook/a140208a-5f4c-42ab-9e8f-4ab5501c4315,1,Yes,2025-12-15,Complete,
Ch06,CBSE_Class12_Chemistry_Ch06_HaloalkanesHaloarenes,https://notebooklm.google.com/notebook/8d221480-5910-43e2-b537-35de9cff02fa,1,Yes,2025-12-15,Complete,
Ch07,CBSE_Class12_Chemistry_Ch07_AlcoholsPhenolsEthers,https://notebooklm.google.com/notebook/1f28020a-b688-463c-91a8-99f9f355a383,1,Yes,2025-12-15,Complete,
Ch08,CBSE_Class12_Chemistry_Ch08_AldehydesKetonesCarboxylicAcids,https://notebooklm.google.com/notebook/91f22f04-2ef6-4ac5-9561-ee81279f454d,1,Yes,2025-12-15,Complete,
Ch09,CBSE_Class12_Chemistry_Ch09_Amines,https://notebooklm.google.com/notebook/02ce2259-3e68-469a-bdb8-c323597409f5,1,Yes,2025-12-15,Complete,
Ch10,CBSE_Class12_Chemistry_Ch10_Biomolecules,https://notebooklm.google.com/notebook/58fc05e5-2ecf-46bf-b52c-cad68fccfe08,1,Yes,2025-12-15,Complete,
FullCourse,CBSE_Class12_Chemistry_FullCourse,https://notebooklm.google.com/notebook/1f2483fb-8a2c-4f49-860f-086c5bb76fb7,15,Yes,2025-12-15,Complete,All chapters + supplementary materials
