Chapter,Notebook_URL,Notebook_Title,Is_Public,Audio_Overview,Audio_URL,Video_Overview,Video_URL,Mind_Map,Reports,Flashcards,Quiz,Infographic,Slide_Deck,Last_Checked,Notes
Flamingo_Ch01,https://notebooklm.google.com/notebook/0b82f8a0-b042-4678-8209-22f7cfb53647,CBSE_Class12_EnglishCore_Flamingo_Ch01_LastLesson,yes,1,,1,,1,skip,1,2,1,1,2025-12-19 11:07,All 7 assets generated
Flamingo_Ch02,https://notebooklm.google.com/notebook/dbc71adb-0025-4139-b01c-dbd87d3391d6,CBSE_Class12_EnglishCore_Flamingo_Ch02_LostSpring,yes,1,,1,,1,skip,1,2,1,1,2025-12-19 11:07,All 7 assets generated
Flamingo_Ch03,https://notebooklm.google.com/notebook/aad984bb-f80e-4452-b3ed-1f537b652a73,CBSE_Class12_EnglishCore_Flamingo_Ch03_DeepWater,yes,1,,1,,1,skip,1,2,1,1,2025-12-19 11:07,All 7 assets generated
Flamingo_Ch04,https://notebooklm.google.com/notebook/23aa9cbd-7bb3-4968-a643-fead4f702cff,CBSE_Class12_EnglishCore_Flamingo_Ch04_Rattrap,yes,1,,1,,1,skip,1,2,1,1,2025-12-19 11:07,All 7 assets generated
Flamingo_Ch05,https://notebooklm.google.com/notebook/99d6f2e5-0b5f-4f52-8ee7-1b271157ac67,CBSE_Class12_EnglishCore_Flamingo_Ch05_Indigo,yes,1,,1,,1,skip,1,2,1,1,2025-12-19 11:07,All 7 assets generated
Flamingo_Ch06,https://notebooklm.google.com/notebook/90b6a96c-d970-4acb-afaa-5810c978d9d5,CBSE_Class12_EnglishCore_Flamingo_Ch06_PoetsPancakes,yes,1,,1,,1,skip,1,2,1,1,2025-12-19 11:07,All 7 assets generated
Flamingo_Ch07,https://notebooklm.google.com/notebook/679c1b4f-59b2-4060-84c2-56a7c38a7230,CBSE_Class12_EnglishCore_Flamingo_Ch07_Interview,yes,1,,1,,1,skip,1,2,1,1,2025-12-19 11:07,All 7 assets generated
Flamingo_Ch08,https://notebooklm.google.com/notebook/51b483b2-dd1a-41fa-96b2-9dc550ab41e8,CBSE_Class12_EnglishCore_Flamingo_Ch08_GoingPlaces,yes,2,,1,,0,skip,1,2,1,1,2025-12-19 11:07,Missing Mind Map (6/7 assets); Note: 2x Audio Overview detected
Flamingo_AllPoems,https://notebooklm.google.com/notebook/9e9afd2c-7e64-45b4-99ca-6c4fd1037555,CBSE_Class12_EnglishCore_Flamingo_AllPoems,yes,1,,1,,1,skip,1,2,1,1,2025-12-19 11:07,All 7 assets generated (5 poems combined)
Vistas_Ch01,https://notebooklm.google.com/notebook/f4f757cb-230e-4f35-a49c-8a244918e696,CBSE_Class12_EnglishCore_Vistas_Ch01_ThirdLevel,yes,1,,1,,1,skip,1,2,1,1,2025-12-19 11:07,All 7 assets generated
Vistas_Ch02,https://notebooklm.google.com/notebook/5132b92f-cca4-41d1-a2bc-02c713a40721,CBSE_Class12_EnglishCore_Vistas_Ch02_TigerKing,yes,1,,1,,1,skip,1,2,1,1,2025-12-19 11:07,All 7 assets generated
Vistas_Ch03,https://notebooklm.google.com/notebook/da2e7b1f-9beb-4eaa-b9ee-f09b8911005f,CBSE_Class12_EnglishCore_Vistas_Ch03_JourneyEndEarth,yes,1,,1,,1,skip,1,2,1,1,2025-12-19 11:07,All 7 assets generated
Vistas_Ch04,https://notebooklm.google.com/notebook/f384c517-6cdf-4691-a830-88e88ed7f0e6,CBSE_Class12_EnglishCore_Vistas_Ch04_Enemy,yes,1,,1,,1,skip,1,2,1,1,2025-12-19 11:07,All 7 assets generated
Vistas_Ch05,https://notebooklm.google.com/notebook/0f002eb6-5b59-419f-892b-4f2db5a9322d,CBSE_Class12_EnglishCore_Vistas_Ch05_OnFaceOfIt,yes,1,,1,,1,skip,1,2,1,1,2025-12-19 11:07,All 7 assets generated
Vistas_Ch06,https://notebooklm.google.com/notebook/302a66eb-b84f-4534-8b3f-cb8cb6da1388,CBSE_Class12_EnglishCore_Vistas_Ch06_MemoriesChildhood,yes,1,,1,,1,skip,1,2,0,0,2025-12-19 11:07,Missing Infographic & Slide Deck (5/7 assets)
Flamingo_FullCourse,https://notebooklm.google.com/notebook/1ded6c72-ec61-4630-b06f-dff965e64734,CBSE_Class12_EnglishCore_Flamingo_FullCourse,yes,1,,1,,1,skip,2,2,1,1,2025-12-19 11:07,All 7 assets generated (14 files); Note: 2x Flashcards detected
Vistas_FullCourse,https://notebooklm.google.com/notebook/c4d59d2f-a33d-4ac2-ad0d-279a3b51921a,CBSE_Class12_EnglishCore_Vistas_FullCourse,yes,1,,1,,1,skip,1,2,1,1,2025-12-19 11:07,All 7 assets generated (7 files)
Complete_Course,https://notebooklm.google.com/notebook/bc05da93-8bd9-46b4-9956-d6b7b1fe5380,CBSE_Class12_EnglishCore_CompleteCourse,yes,1,,1,,1,skip,1,2,1,1,2025-12-19 11:07,All 7 assets generated (23 files)
