Chapter,NotebookTitle,NotebookURL,SourceCount,IsPublic,DateCreated,Status,Notes
Flamingo_Ch01,CBSE_Class12_EnglishCore_Flamingo_Ch01_LastLesson,https://notebooklm.google.com/notebook/0b82f8a0-b042-4678-8209-22f7cfb53647,1,Yes,2025-12-15,Complete,
Flamingo_Ch02,CBSE_Class12_EnglishCore_Flamingo_Ch02_LostSpring,https://notebooklm.google.com/notebook/dbc71adb-0025-4139-b01c-dbd87d3391d6,1,Yes,2025-12-15,Complete,
Flamingo_Ch03,CBSE_Class12_EnglishCore_Flamingo_Ch03_DeepWater,https://notebooklm.google.com/notebook/aad984bb-f80e-4452-b3ed-1f537b652a73,1,Yes,2025-12-15,Complete,
Flamingo_Ch04,CBSE_Class12_EnglishCore_Flamingo_Ch04_Rattrap,https://notebooklm.google.com/notebook/23aa9cbd-7bb3-4968-a643-fead4f702cff,1,Yes,2025-12-15,Complete,
Flamingo_Ch05,CBSE_Class12_EnglishCore_Flamingo_Ch05_Indigo,https://notebooklm.google.com/notebook/99d6f2e5-0b5f-4f52-8ee7-1b271157ac67,1,Yes,2025-12-15,Complete,
Flamingo_Ch06,CBSE_Class12_EnglishCore_Flamingo_Ch06_PoetsPancakes,https://notebooklm.google.com/notebook/90b6a96c-d970-4acb-afaa-5810c978d9d5,1,Yes,2025-12-15,Complete,
Flamingo_Ch07,CBSE_Class12_EnglishCore_Flamingo_Ch07_Interview,https://notebooklm.google.com/notebook/679c1b4f-59b2-4060-84c2-56a7c38a7230,1,Yes,2025-12-15,Complete,
Flamingo_Ch08,CBSE_Class12_EnglishCore_Flamingo_Ch08_GoingPlaces,https://notebooklm.google.com/notebook/51b483b2-dd1a-41fa-96b2-9dc550ab41e8,1,Yes,2025-12-15,Complete,
Flamingo_AllPoems,CBSE_Class12_EnglishCore_Flamingo_AllPoems,https://notebooklm.google.com/notebook/9e9afd2c-7e64-45b4-99ca-6c4fd1037555,5,Yes,2025-12-15,Complete,All 5 Flamingo poems combined
Vistas_Ch01,CBSE_Class12_EnglishCore_Vistas_Ch01_ThirdLevel,https://notebooklm.google.com/notebook/f4f757cb-230e-4f35-a49c-8a244918e696,1,Yes,2025-12-15,Complete,
Vistas_Ch02,CBSE_Class12_EnglishCore_Vistas_Ch02_TigerKing,https://notebooklm.google.com/notebook/5132b92f-cca4-41d1-a2bc-02c713a40721,1,Yes,2025-12-15,Complete,
Vistas_Ch03,CBSE_Class12_EnglishCore_Vistas_Ch03_JourneyEndEarth,https://notebooklm.google.com/notebook/da2e7b1f-9beb-4eaa-b9ee-f09b8911005f,1,Yes,2025-12-15,Complete,
Vistas_Ch04,CBSE_Class12_EnglishCore_Vistas_Ch04_Enemy,https://notebooklm.google.com/notebook/f384c517-6cdf-4691-a830-88e88ed7f0e6,1,Yes,2025-12-15,Complete,
Vistas_Ch05,CBSE_Class12_EnglishCore_Vistas_Ch05_OnFaceOfIt,https://notebooklm.google.com/notebook/0f002eb6-5b59-419f-892b-4f2db5a9322d,1,Yes,2025-12-15,Complete,
Vistas_Ch06,CBSE_Class12_EnglishCore_Vistas_Ch06_MemoriesChildhood,https://notebooklm.google.com/notebook/302a66eb-b84f-4534-8b3f-cb8cb6da1388,1,Yes,2025-12-15,Complete,
Flamingo_FullCourse,CBSE_Class12_EnglishCore_Flamingo_FullCourse,https://notebooklm.google.com/notebook/1ded6c72-ec61-4630-b06f-dff965e64734,14,Yes,2025-12-15,Complete,All Flamingo prose + poems + prelims (14 files)
Vistas_FullCourse,CBSE_Class12_EnglishCore_Vistas_FullCourse,https://notebooklm.google.com/notebook/c4d59d2f-a33d-4ac2-ad0d-279a3b51921a,7,Yes,2025-12-15,Complete,All Vistas chapters + prelims (7 files)
Complete_Course,CBSE_Class12_EnglishCore_CompleteCourse,https://notebooklm.google.com/notebook/bc05da93-8bd9-46b4-9956-d6b7b1fe5380,23,Yes,2025-12-15,Complete,All files: Flamingo + Vistas + syllabuses (23 files)
