Chapter,Notebook_Title,Notebook_URL,PDFs_Uploaded,Public,Date_Created,Status,Notes
Ch01,CBSE_Class12_Mathematics_Ch01_RelationsFunctions,https://notebooklm.google.com/notebook/690d3154-84e8-4086-bc44-45698a87c117,1,Yes,2025-12-14,Complete,
Ch02,CBSE_Class12_Mathematics_Ch02_InverseTrigonometricFunctions,https://notebooklm.google.com/notebook/8ede7637-912b-4988-a58c-643a1c83aef6,1,Yes,2025-12-14,Complete,
Ch03,CBSE_Class12_Mathematics_Ch03_Matrices,https://notebooklm.google.com/notebook/a9e55f86-8dbd-4582-856e-b6eacc5d320d,1,Yes,2025-12-14,Complete,
Ch04,CBSE_Class12_Mathematics_Ch04_Determinants,https://notebooklm.google.com/notebook/1467878b-dbe4-4398-84f7-54ba667af39b,1,Yes,2025-12-14,Complete,
Ch05,CBSE_Class12_Mathematics_Ch05_ContinuityDifferentiability,https://notebooklm.google.com/notebook/7e416ed3-7293-42d9-a40e-21991ac35337,1,Yes,2025-12-14,Complete,
Ch06,CBSE_Class12_Mathematics_Ch06_ApplicationsDerivatives,https://notebooklm.google.com/notebook/72b4e1f6-144d-43de-b2c0-0ec73dba8786,1,Yes,2025-12-14,Complete,
Ch07,CBSE_Class12_Mathematics_Ch07_Integrals,https://notebooklm.google.com/notebook/02894da3-47c6-4435-9804-046b675ea854,1,Yes,2025-12-14,Complete,
Ch08,CBSE_Class12_Mathematics_Ch08_ApplicationIntegrals,https://notebooklm.google.com/notebook/21f6ef48-595d-4e02-9a80-e4e46bc1fc0a,1,Yes,2025-12-14,Complete,
Ch09,CBSE_Class12_Mathematics_Ch09_DifferentialEquations,https://notebooklm.google.com/notebook/83546ca2-b557-4339-827f-5d1f807770ca,1,Yes,2025-12-14,Complete,
Ch10,CBSE_Class12_Mathematics_Ch10_Vectors,https://notebooklm.google.com/notebook/5d13f2f2-a9e3-480c-9939-c65f0186c09b,1,Yes,2025-12-14,Complete,
Ch11,CBSE_Class12_Mathematics_Ch11_ThreeDimensionalGeometry,https://notebooklm.google.com/notebook/be6d703b-5894-4133-988d-98523328cd00,1,Yes,2025-12-14,Complete,
Ch12,CBSE_Class12_Mathematics_Ch12_LinearProgramming,https://notebooklm.google.com/notebook/bbbe03b1-4991-4817-b37e-b8fea549b3d7,1,Yes,2025-12-14,Complete,
Ch13,CBSE_Class12_Mathematics_Ch13_Probability,https://notebooklm.google.com/notebook/bdda1eaa-fc38-49aa-beeb-fa0073d19833,1,Yes,2025-12-14,Complete,
FullCourse,CBSE_Class12_Mathematics_FullCourse,https://notebooklm.google.com/notebook/479c4ee4-d940-47b8-8aec-7bb5542a501b,18,Yes,2025-12-14,Complete,
