Chapter,Notebook_URL,Notebook_Title,Is_Public,Audio_Overview,Audio_URL,Video_Overview,Video_URL,Mind_Map,Reports,Flashcards,Quiz,Infographic,Slide_Deck,Last_Checked,Notes
Ch01,https://notebooklm.google.com/notebook/67dbcd97-afd2-4000-a3b1-05e5ac6890d1,CBSE_Class12_Physics_Ch01_ElectricChargesFields,yes,1,,1,,1,skip,1,1,1,1,2025-12-16 22:28,
Ch02,https://notebooklm.google.com/notebook/05751ae5-a464-48ae-9992-98c6687ada50,CBSE_Class12_Physics_Ch02_ElectrostaticPotentialCapacitance,yes,1,,1,,1,skip,1,1,1,1,2025-12-16 22:28,
Ch03,https://notebooklm.google.com/notebook/60bf5e38-a7c9-4adf-ab5e-c1f56a576bb2,CBSE_Class12_Physics_Ch03_CurrentElectricity,yes,1,,1,,1,skip,1,1,1,1,2025-12-16 22:28,
Ch04,https://notebooklm.google.com/notebook/0bd62add-9e84-4667-9c8b-b75129f97c5d,CBSE_Class12_Physics_Ch04_MovingChargesMagnetism,yes,1,,1,,1,skip,1,1,1,1,2025-12-16 22:28,
Ch05,https://notebooklm.google.com/notebook/f7b3cfef-6efa-4491-bec3-1e16a52a6b2d,CBSE_Class12_Physics_Ch05_MagnetismMatter,yes,1,,1,,1,skip,1,1,1,1,2025-12-16 22:28,
Ch06,https://notebooklm.google.com/notebook/6ed02221-7616-48ca-8df4-2167df6e90b3,CBSE_Class12_Physics_Ch06_ElectromagneticInduction,yes,1,,1,,1,skip,1,1,1,1,2025-12-16 22:28,
Ch07,https://notebooklm.google.com/notebook/3433627f-d03d-467f-a3a8-b2a4e15e28c9,CBSE_Class12_Physics_Ch07_AlternatingCurrent,yes,1,,1,,1,skip,1,1,1,1,2025-12-16 22:28,
Ch08,https://notebooklm.google.com/notebook/b139a469-c4b0-4e7a-b276-92f8cab42215,CBSE_Class12_Physics_Ch08_ElectromagneticWaves,yes,1,,1,,1,skip,1,1,1,1,2025-12-16 22:28,
Ch09,https://notebooklm.google.com/notebook/09292f0b-af62-450b-9c36-70d89d797a32,CBSE_Class12_Physics_Ch09_RayOpticsOpticalInstruments,yes,1,,1,,1,skip,1,1,1,0,2025-12-16 22:28,Missing Slide Deck
Ch10,https://notebooklm.google.com/notebook/bace6b2c-8b64-4ece-a197-2e069ecdd168,CBSE_Class12_Physics_Ch10_WaveOptics,yes,1,,1,,1,skip,1,1,1,1,2025-12-16 22:28,
Ch11,https://notebooklm.google.com/notebook/993e6621-45f4-4013-8be3-f96521b05886,CBSE_Class12_Physics_Ch11_DualNatureRadiationMatter,yes,1,,1,,1,skip,1,1,1,1,2025-12-16 22:28,
Ch12,https://notebooklm.google.com/notebook/fd5c3f7f-f8ed-4175-ae07-6129170a76f0,CBSE_Class12_Physics_Ch12_Atoms,yes,1,,1,,1,skip,1,1,1,1,2025-12-16 22:28,
Ch13,https://notebooklm.google.com/notebook/40e088d1-97a6-40cc-b5fa-2ed7e572abd8,CBSE_Class12_Physics_Ch13_Nuclei,yes,1,,1,,1,skip,1,1,1,1,2025-12-16 22:28,
Ch14,https://notebooklm.google.com/notebook/4b473e90-fdd6-4a44-962d-b2d063edc7ef,CBSE_Class12_Physics_Ch14_SemiconductorElectronics,yes,1,,1,,1,skip,1,1,1,1,2025-12-16 22:28,
FullCourse,https://notebooklm.google.com/notebook/f2e79e51-610c-4399-aa9d-e0d369313650,CBSE_Class12_Physics_FullCourse,yes,1,,1,,1,skip,1,1,1,1,2025-12-16 22:28,
