Chapter,Notebook_Title,Notebook_URL,PDFs_Uploaded,Public,Date_Created,Status,Notes
Ch01,CBSE_Class12_Physics_Ch01_ElectricChargesFields,https://notebooklm.google.com/notebook/67dbcd97-afd2-4000-a3b1-05e5ac6890d1,1,Yes,2025-12-14,Complete,
Ch02,CBSE_Class12_Physics_Ch02_ElectrostaticPotentialCapacitance,https://notebooklm.google.com/notebook/05751ae5-a464-48ae-9992-98c6687ada50,1,Yes,2025-12-14,Complete,
Ch03,CBSE_Class12_Physics_Ch03_CurrentElectricity,https://notebooklm.google.com/notebook/60bf5e38-a7c9-4adf-ab5e-c1f56a576bb2,1,Yes,2025-12-14,Complete,
Ch04,CBSE_Class12_Physics_Ch04_MovingChargesMagnetism,https://notebooklm.google.com/notebook/0bd62add-9e84-4667-9c8b-b75129f97c5d,1,Yes,2025-12-14,Complete,
Ch05,CBSE_Class12_Physics_Ch05_MagnetismMatter,https://notebooklm.google.com/notebook/f7b3cfef-6efa-4491-bec3-1e16a52a6b2d,1,Yes,2025-12-14,Complete,
Ch06,CBSE_Class12_Physics_Ch06_ElectromagneticInduction,https://notebooklm.google.com/notebook/6ed02221-7616-48ca-8df4-2167df6e90b3,1,Yes,2025-12-14,Complete,
Ch07,CBSE_Class12_Physics_Ch07_AlternatingCurrent,https://notebooklm.google.com/notebook/3433627f-d03d-467f-a3a8-b2a4e15e28c9,1,Yes,2025-12-14,Complete,
Ch08,CBSE_Class12_Physics_Ch08_ElectromagneticWaves,https://notebooklm.google.com/notebook/b139a469-c4b0-4e7a-b276-92f8cab42215,1,Yes,2025-12-14,Complete,
Ch09,CBSE_Class12_Physics_Ch09_RayOpticsOpticalInstruments,https://notebooklm.google.com/notebook/09292f0b-af62-450b-9c36-70d89d797a32,1,Yes,2025-12-14,Complete,
Ch10,CBSE_Class12_Physics_Ch10_WaveOptics,https://notebooklm.google.com/notebook/bace6b2c-8b64-4ece-a197-2e069ecdd168,1,Yes,2025-12-14,Complete,
Ch11,CBSE_Class12_Physics_Ch11_DualNatureRadiationMatter,https://notebooklm.google.com/notebook/993e6621-45f4-4013-8be3-f96521b05886,1,Yes,2025-12-14,Complete,
Ch12,CBSE_Class12_Physics_Ch12_Atoms,https://notebooklm.google.com/notebook/fd5c3f7f-f8ed-4175-ae07-6129170a76f0,1,Yes,2025-12-14,Complete,
Ch13,CBSE_Class12_Physics_Ch13_Nuclei,https://notebooklm.google.com/notebook/40e088d1-97a6-40cc-b5fa-2ed7e572abd8,1,Yes,2025-12-14,Complete,
Ch14,CBSE_Class12_Physics_Ch14_SemiconductorElectronics,https://notebooklm.google.com/notebook/4b473e90-fdd6-4a44-962d-b2d063edc7ef,1,Yes,2025-12-14,Complete,
FullCourse,CBSE_Class12_Physics_FullCourse,https://notebooklm.google.com/notebook/f2e79e51-610c-4399-aa9d-e0d369313650,18,Yes,2025-12-14,Complete,
