Chapter,Notebook_Title,Notebook_URL,Public,Audio_Overview,Video_Overview,Mind_Map,Flashcards,Quiz,Infographic,Slide_Deck,Last_Checked,Notes
Part1_Ch01,CBSE_Class7_Maths_Part1_Ch01_LargeNumbersAroundUs,https://notebooklm.google.com/notebook/b4d3e76c-595c-42dc-af52-796ae7e93637,Yes,0,0,1,0,0,0,0,2026-02-16 08:12,Re-triggered all 6 missing - may be rate limited
Part1_Ch02,CBSE_Class7_Maths_Part1_Ch02_ArithmeticExpressions,https://notebooklm.google.com/notebook/21f0a05b-253a-488a-b209-4fade152c363,Yes,0,0,1,0,0,0,0,2026-02-16 08:12,Re-triggered all 6 missing - may be rate limited
Part1_Ch03,CBSE_Class7_Maths_Part1_Ch03_APeekBeyondThePoint,https://notebooklm.google.com/notebook/a2888308-6dc7-4ba4-8fef-a4f360eb0035,Yes,1,1,1,1,1,1,1,2026-02-16 08:12,All complete
Part1_Ch04,CBSE_Class7_Maths_Part1_Ch04_ExpressionsUsingLetterNumbers,https://notebooklm.google.com/notebook/1f97e195-a41e-49c4-abec-501ad53975cf,Yes,1,1,1,1,1,1,1,2026-02-16 08:12,All complete
Part1_Ch05,CBSE_Class7_Maths_Part1_Ch05_ParallelAndIntersectingLines,https://notebooklm.google.com/notebook/5db13c24-07e3-451e-90b9-37b91625d72b,Yes,1,1,1,1,1,0,1,2026-02-16 08:12,Missing Infographic - NOT re-triggered yet
Part1_Ch06,CBSE_Class7_Maths_Part1_Ch06_NumberPlay,https://notebooklm.google.com/notebook/a614b0a6-8bfe-4b55-bfa6-9468ae7e6afe,Yes,0,0,1,1,1,0,0,2026-02-16 08:12,Missing Audio/Video/Infographic/SlideDeck - NOT re-triggered yet
Part1_Ch07,CBSE_Class7_Maths_Part1_Ch07_ATaleOfThreeIntersectingLines,https://notebooklm.google.com/notebook/c86f2ae8-6736-46d7-a391-22d4d88acb1e,Yes,0,0,1,1,1,0,0,2026-02-16 08:12,Missing Audio/Video/Infographic/SlideDeck - NOT re-triggered yet
Part1_Ch08,CBSE_Class7_Maths_Part1_Ch08_WorkingWithFractions,https://notebooklm.google.com/notebook/f0bca121-fe4f-4a91-aeb3-d1469328c329,Yes,0,0,1,1,1,0,0,2026-02-16 08:12,Missing Audio/Video/Infographic/SlideDeck - NOT re-triggered yet
Part2_Ch01,CBSE_Class7_Maths_Part2_Ch01_GeometricTwins,https://notebooklm.google.com/notebook/734ee723-f768-4c0b-bbb4-97faaf7c2789,Yes,0,0,1,1,1,0,0,2026-02-16 08:12,Missing Audio/Video/Infographic/SlideDeck - NOT re-triggered yet
Part2_Ch02,CBSE_Class7_Maths_Part2_Ch02_OperationsWithIntegers,https://notebooklm.google.com/notebook/86d05588-32ea-4716-bb46-2163d465f04a,Yes,0,0,1,1,1,0,0,2026-02-16 08:12,Missing Audio/Video/Infographic/SlideDeck - NOT re-triggered yet
Part2_Ch03,CBSE_Class7_Maths_Part2_Ch03_FindingCommonGround,https://notebooklm.google.com/notebook/81bc11a0-90d3-4056-b244-bd2dc3add0bd,Yes,0,0,1,1,1,0,0,2026-02-16 08:12,Missing Audio/Video/Infographic/SlideDeck - NOT re-triggered yet
Part2_Ch04,CBSE_Class7_Maths_Part2_Ch04_AnotherPeekBeyondThePoint,https://notebooklm.google.com/notebook/40965a23-ca8b-4680-8762-847cd9cff95e,Yes,0,0,1,1,1,0,0,2026-02-16 08:12,Missing Audio/Video/Infographic/SlideDeck - NOT re-triggered yet
Part2_Ch05,CBSE_Class7_Maths_Part2_Ch05_ConnectingTheDots,https://notebooklm.google.com/notebook/e04482bc-d256-4929-bae1-bc99e81513d3,Yes,0,0,1,0,0,0,0,2026-02-16 08:12,Re-triggered all 6 missing - may be rate limited
Part2_Ch06,CBSE_Class7_Maths_Part2_Ch06_ConstructionsAndTilings,https://notebooklm.google.com/notebook/0cff15dd-7e2e-45ed-8607-e9f289df98ef,Yes,0,0,1,0,0,0,0,2026-02-16 08:12,Re-triggered all 6 missing - may be rate limited
Part2_Ch07,CBSE_Class7_Maths_Part2_Ch07_FindingTheUnknown,https://notebooklm.google.com/notebook/0e8401c1-aab1-4d14-8581-8fb5e16050de,Yes,0,0,1,0,0,0,0,2026-02-16 08:12,Re-triggered all 6 missing - may be rate limited
FullCourse,CBSE_Class7_Maths_FullCourse,https://notebooklm.google.com/notebook/6b93e5c3-cdb0-42d7-a57f-3f714217cd64,Yes,0,0,1,0,0,0,0,2026-02-16 08:12,Re-triggered all 6 missing - may be rate limited
